category_num,product_id,user_num,num_photo,rating,date,num_helpful
0,7958974,0,10,5,2024.05.22,0
0,7958974,1,10,4,2024.05.21,2
0,7958974,2,10,5,2024.05.19,6
0,7958974,3,10,5,2024.05.18,5
0,7958974,4,10,5,2024.05.15,5
1,6912084767,0,10,5,2024.05.23,0
1,6912084767,5,5,5,2024.05.20,4
1,6912084767,6,10,5,2024.05.16,2
1,6912084767,7,10,5,2024.05.07,6
1,6912084767,8,8,5,2024.05.05,15
1,6912084767,9,10,5,2024.05.05,8
2,5717326094,0,10,5,2024.05.22,0
2,5717326094,0,10,5,2024.05.22,0
2,5717326094,10,10,5,2023.07.11,16
2,5717326094,11,6,5,2023.10.10,4
2,5717326094,12,9,5,2024.05.04,0
2,5717326094,13,6,4,2022.03.13,9
3,8005580779,0,10,5,2024.05.22,0
3,8005580779,14,10,5,2024.05.23,0
3,8005580779,15,10,5,2024.05.23,1
3,8005580779,16,10,5,2024.05.23,0
3,8005580779,17,11,5,2024.05.23,0
3,8005580779,18,10,5,2024.05.23,4
4,188778505,1,10,5,2024.05.23,1
4,188778505,1,10,5,2024.05.23,0
4,188778505,19,10,5,2024.05.18,5
4,188778505,20,6,5,2024.05.10,2
4,188778505,21,6,5,2024.01.15,9
4,188778505,1,10,5,2023.10.30,7
5,7159318099,1,10,5,2024.05.23,1
5,7159318099,1,10,5,2024.05.23,1
5,7159318099,22,7,5,2024.05.20,2
5,7159318099,23,10,5,2024.05.18,3
5,7159318099,24,9,5,2024.05.16,6
5,7159318099,25,10,5,2024.05.15,5
6,7180952181,1,10,5,2024.05.23,2
6,7180952181,26,10,5,2024.05.22,7
6,7180952181,27,10,4,2024.05.20,4
6,7180952181,28,10,5,2024.05.19,2
6,7180952181,29,10,5,2024.05.18,5
6,7180952181,30,10,5,2024.05.17,8
7,4917546752,2,10,5,2024.05.20,4
7,4917546752,31,11,5,2024.05.22,1
7,4917546752,2,10,5,2024.05.20,4
7,4917546752,32,10,5,2024.05.18,0
7,4917546752,33,10,5,2024.05.18,1
7,4917546752,34,10,5,2024.05.16,15
8,296352196,2,10,5,2024.05.20,4
8,296352196,35,10,5,2024.05.23,0
8,296352196,36,11,5,2024.05.22,3
8,296352196,37,10,5,2024.05.22,0
8,296352196,38,10,5,2024.05.22,3
8,296352196,39,10,5,2024.05.21,3
9,7012375223,2,10,5,2024.05.20,5
